docdate,codigo_articulo,cantidad
2020-01-15,HEELVC0640P,1
2020-01-15,MAEL2G13,1
2020-01-15,MAEL2G950,1
2020-01-15,SOELCSVM501,1
2020-01-15,SOELCSVM510,1
2020-01-15,SOELCSVM530,3
2020-01-15,SOELPES6300,2
2020-01-15,SOELPMS6505,1
2020-01-15,SOELSI9220DV,1
2020-01-15,SOSWC1-611,14
2020-01-15,SOSWC6-603,17
2020-01-15,SOSWG2-210,5
2020-01-15,SOSWG2-213,14
2020-01-15,SOSWM2-245,10
2020-01-15,SOSWM2-251,5
2020-01-15,SOSWSWA2650,8
2020-01-16,AUAC265,2
2020-01-16,AUACAE20,3
2020-01-16,AUACAH45,3
2020-01-16,AUACAL3900U,7
2020-01-16,AUACALM4,2
2020-01-16,AUACALR4,5
2020-01-16,AUACAN4275,1
2020-01-16,AUACBD1100,1
2020-01-16,AUACBD850,-1
2020-01-16,AUACBL05,4
2020-01-16,AUACFL85265,1
2020-01-16,AUACFX1000,1
2020-01-16,AUACGC02,1
2020-01-16,AUACHR42,6
2020-01-16,AUACHULK450,3
2020-01-16,AUACHULK950,4
2020-01-16,AUACPB400,5
2020-01-16,AUACRCBLT3,1
2020-01-16,AUACRIM4F,15
2020-01-16,AUACRIM4Z,1
2020-01-16,AUACRP120,1
2020-01-16,AUACRT2415U,1
2020-01-16,AUACSB9,5
2020-01-16,AUACV515,4
2020-01-16,AUELCR4301,1
2020-01-16,AUELCR433,1
2020-01-16,AUELMC3,1
2020-01-16,AUELMC5,1
2020-01-16,HEELAG114,3
2020-01-16,HEELAG181,1
2020-01-16,HEELAG230,1
2020-01-16,HEELCA1012D,1
2020-01-16,HEELCA1510,3
2020-01-16,HEELCA2542D,4
2020-01-16,HEELCA6205,2
2020-01-16,HEELCA6256,2
2020-01-16,HEELEB7056,5
2020-01-16,HEELEP181,2
2020-01-16,HEELHG1600,10
2020-01-16,HEELID600,8
2020-01-16,HEELMS1018,1
2020-01-16,HEELPS250,-1
2020-01-16,HEELPS350,6
2020-01-16,HEELPW1565,3
2020-01-16,HEELPW1770,2
2020-01-16,HEELPW2275,3
2020-01-16,HEELPW2482,1
2020-01-16,HEELRM9026,3
2020-01-16,HEELTA750,1
2020-01-16,HEELTB500,1
2020-01-16,HEELTS255,2
2020-01-16,HEELVC0640P,1
2020-01-16,HEFUFC25,3
2020-01-16,MAEL2G100,1
2020-01-16,MAEL2G13,2
2020-01-16,MAEL2G25,3
2020-01-16,MAEL2G65,2
2020-01-16,MAEL2G950,4
2020-01-16,SOELAT2610254M,-6
2020-01-16,SOELCSVM501,1
2020-01-16,SOELCSVM530,28
2020-01-16,SOELPES6300,14
2020-01-16,SOELPMS6505,8
2020-01-16,SOELSI9220DV,2
2020-01-16,SOSWC1-611,7
2020-01-16,SOSWC1-651,3
2020-01-16,SOSWC6-603,4
2020-01-16,SOSWG1-110,1
2020-01-16,SOSWG1-111,1
2020-01-16,SOSWG2-210,2
2020-01-16,SOSWG2-213,23
2020-01-16,SOSWG2-216,1
2020-01-16,SOSWM1-111,2
2020-01-16,SOSWM2-211,20
2020-01-16,SOSWM2-235,20
2020-01-16,SOSWM2-237,20
2020-01-16,SOSWM2-245,10
2020-01-16,SOSWM2-251,10
2020-01-16,SOSWM2-265,20
2020-01-16,SOSWSWA2650,3
2020-01-17,AUAC265,8
2020-01-17,AUAC4010,1
2020-01-17,AUACAE20,6
2020-01-17,AUACAH45,3
2020-01-17,AUACAL3900U,1
2020-01-17,AUACALM4,2
2020-01-17,AUACALR4,7
2020-01-17,AUACBD850,1
2020-01-17,AUACBL05,3
2020-01-17,AUACFC350,1
2020-01-17,AUACFX1000,1
2020-01-17,AUACHR42,2
2020-01-17,AUACHULK450,4
2020-01-17,AUACHULK750,2
2020-01-17,AUACIN624,1
2020-01-17,AUACPB400,8
2020-01-17,AUACRCBLT3,1
2020-01-17,AUACRIM4F,26
2020-01-17,AUACSH1000,11
2020-01-17,AUELCR4301,12
2020-01-17,AUELCR433,4
2020-01-17,AUELMC3,8
2020-01-17,AUELMC5,-1
2020-01-17,HEELAG114,2
2020-01-17,HEELAG230,1
2020-01-17,HEELBV04,1
2020-01-17,HEELBV05,3
2020-01-17,HEELCA1012D,1
2020-01-17,HEELCA1510,1
2020-01-17,HEELCA6256,3
2020-01-17,HEELEB7056,3
2020-01-17,HEELHG1600,13
2020-01-17,HEELID600,3
2020-01-17,HEELMS1018,1
2020-01-17,HEELPS250,1
2020-01-17,HEELPS350,1
2020-01-17,HEELPW1565,6
2020-01-17,HEELPW1770,10
2020-01-17,HEELPW2275,5
2020-01-17,HEELTB500,2
2020-01-17,HEELTS255,1
2020-01-17,HEELVC0640P,3
2020-01-17,HEFUFC25,2
2020-01-17,MAEL2G13,-1
2020-01-17,MAEL2G65,2
2020-01-17,SOELCSVM501,12
2020-01-17,SOELCSVM530,2
2020-01-17,SOELPES6300,2
2020-01-17,SOELPMS6505,2
2020-01-17,SOSWC1-611,5
2020-01-17,SOSWC1-651,2
2020-01-17,SOSWC1-811,1
2020-01-17,SOSWG1-110,1
2020-01-17,SOSWG2-210,1
2020-01-17,SOSWG2-213,1
2020-01-17,SOSWM1-111,1
2020-01-17,SOSWM2-210,2
2020-01-17,SOSWM2-211,22
2020-01-17,SOSWM2-235,20
2020-01-17,SOSWM2-237,6
2020-01-17,SOSWM2-245,1
2020-01-17,SOSWM2-251,2
2020-01-17,SOSWP2-410,3
2020-01-17,SOSWP2-411,3
2020-01-17,SOSWP2-513,3
2020-01-17,SOSWP2-517,3
2020-01-17,SOSWSWA2650,2
2020-01-17,SOSWSWT2045,1
2020-01-18,AUAC265,1
2020-01-18,AUACAE20,5
2020-01-18,AUACAH45,2
2020-01-18,AUACAL3900U,6
2020-01-18,AUACALH2,2
2020-01-18,AUACALR4,8
2020-01-18,AUACBD850,1
2020-01-18,AUACBL05,2
2020-01-18,AUACFX1000,3
2020-01-18,AUACHR42,5
2020-01-18,AUACHULK450,1
2020-01-18,AUACHULK750,2
2020-01-18,AUACHULK950,1
2020-01-18,AUACRCBLT3,1
2020-01-18,AUACRIM4F,12
2020-01-18,AUACRT3FX,3
2020-01-18,AUELCR433,2
2020-01-18,HEELAG114,1
2020-01-18,HEELCA6256,1
2020-01-18,HEELCS1425,1
2020-01-18,HEELDH164515,1
2020-01-18,HEELEB7056,1
2020-01-18,HEELEB90758,2
2020-01-18,HEELHG1600,1
2020-01-18,HEELID600,3
2020-01-18,HEELPS250,1
2020-01-18,HEELPW1770,2
2020-01-18,HEELRM9026,1
2020-01-18,HEELTA750,1
2020-01-18,SOELPMS6505,3
2020-01-18,SOELSI9210DT,1
2020-01-18,SOSWC1-611,3
2020-01-18,SOSWC6-603,2
2020-01-18,SOSWG2-210,4
2020-01-18,SOSWG2-213,7
2020-01-18,SOSWM2-235,10
2020-01-18,SOSWSWA2650,2
2020-01-18,SOSWSWT2045,1
2020-01-20,AUAC265,1
2020-01-20,AUAC4010,1
2020-01-20,AUACAE20,4
2020-01-20,AUACAH45,1
2020-01-20,AUACAL3900U,2
2020-01-20,AUACALM4,3
2020-01-20,AUACALR4,18
2020-01-20,AUACAR10SH,1
2020-01-20,AUACBD1100,1
2020-01-20,AUACBL05,1
2020-01-20,AUACEG250,1
2020-01-20,AUACEL12,3
2020-01-20,AUACFL85265,2
2020-01-20,AUACFX1000,6
2020-01-20,AUACPB400,2
2020-01-20,AUACRCBLT3,4
2020-01-20,AUACRIM4F,19
2020-01-20,AUACRT2415U,1
2020-01-20,AUACRT3FX,2
2020-01-20,AUACSH1000,3
2020-01-20,AUELCR433,9
2020-01-20,AUELMC3,4
2020-01-20,AUELMC5,17
2020-01-20,HEELAG181,8
2020-01-20,HEELAG230,3
2020-01-20,HEELBV04,1
2020-01-20,HEELCA1012D,23
2020-01-20,HEELCA1510,14
2020-01-20,HEELCA2542D,1
2020-01-20,HEELCA6256,2
2020-01-20,HEELCS1425,2
2020-01-20,HEELEB7056,6
2020-01-20,HEELEB90758,2
2020-01-20,HEELHG1600,4
2020-01-20,HEELID600,25
2020-01-20,HEELMS1018,18
2020-01-20,HEELPS250,12
2020-01-20,HEELPS350,3
2020-01-20,HEELPW1565,6
2020-01-20,HEELPW1770,14
2020-01-20,HEELPW2275,1
2020-01-20,HEELPW2482,1
2020-01-20,HEELRM9026,2
2020-01-20,HEELTA375,2
2020-01-20,HEELTA750,1
2020-01-20,HEELTB500,8
2020-01-20,HEELTS255,3
2020-01-20,HEELVC0640P,1
2020-01-20,HEFUFC25,7
2020-01-20,MAEL2G25,1
2020-01-20,MAEL2G65,8
2020-01-20,MAEL2G950,15
2020-01-20,MAELGPW2515,1
2020-01-20,SOELAT2610254M,6
2020-01-20,SOELCSVM501,12
2020-01-20,SOELCSVM510,3
2020-01-20,SOELCSVM530,11
2020-01-20,SOELPES6300,19
